PROVINCIA,COMARCA,LOCALIDAD,CÓD. CENTRO,NOMBRE CENTRO,NIVEL,CURSO,% VOTOS VALENCIANO,% VOTOS CASTELLANO
PROVÍNCIA,COMARCA,LOCALITAT,CODI CENTRE,NOM DEL CENTRE,NIVELL,CURS,% VOTS VALENCIÀ,% VOTS CASTELLÀ
Alacant,L'Alcoià,ALCOI,03000345,CENTRE PRIVAT JOSÉ ARNAUDA,ESO,1ESO,"75,61","24,39"
Alacant,L'Alcoià,ALCOI,03000345,CENTRE PRIVAT JOSÉ ARNAUDA,ESO,2ESO,"70,27","29,73"
Alacant,L'Alcoià,ALCOI,03000345,CENTRE PRIVAT JOSÉ ARNAUDA,ESO,3ESO,70,30
Alacant,L'Alcoià,ALCOI,03000357,CENTRE PRIVAT LA PRESENTACIÓN,ESO,1ESO,"82,76","17,24"
Alacant,L'Alcoià,ALCOI,03000357,CENTRE PRIVAT LA PRESENTACIÓN,ESO,2ESO,"68,18","31,82"
Alacant,L'Alcoià,ALCOI,03000357,CENTRE PRIVAT LA PRESENTACIÓN,ESO,3ESO,84,16
Alacant,L'Alcoià,ALCOI,03000382,CENTRE PRIVAT ESCLAVES SCJ ALCOI,ESO,1ESO,50,50
Alacant,L'Alcoià,ALCOI,03000382,CENTRE PRIVAT ESCLAVES SCJ ALCOI,ESO,2ESO,"85,37","14,63"
Alacant,L'Alcoià,ALCOI,03000382,CENTRE PRIVAT ESCLAVES SCJ ALCOI,ESO,3ESO,"48,48","51,52"
Alacant,L'Alcoià,ALCOI,03000394,IES PARE VITÒRIA,ESO,1ESO,"86,79","13,21"
Alacant,L'Alcoià,ALCOI,03000394,IES PARE VITÒRIA,ESO,2ESO,"85,71","14,29"
Alacant,L'Alcoià,ALCOI,03000394,IES PARE VITÒRIA,ESO,3ESO,"83,93","16,07"
Alacant,L'Alcoià,ALCOI,03000400,IES COTES BAIXES,ESO,1ESO,"87,1","12,9"
Alacant,L'Alcoià,ALCOI,03000400,IES COTES BAIXES,ESO,2ESO,"76,09","23,91"
Alacant,L'Alcoià,ALCOI,03000400,IES COTES BAIXES,ESO,3ESO,"74,36","25,64"
Alacant,L'Alcoià,ALCOI,03000424,CENTRE PRIVAT SALESIANOS JUAN XXIII,ESO,1ESO,"44,44","55,56"
Alacant,L'Alcoià,ALCOI,03000424,CENTRE PRIVAT SALESIANOS JUAN XXIII,ESO,2ESO,"26,67","73,33"
Alacant,L'Alcoià,ALCOI,03000424,CENTRE PRIVAT SALESIANOS JUAN XXIII,ESO,3ESO,10,90
Alacant,L'Alcoià,ALCOI,03000448,CENTRE PRIVAT LA SALLE,ESO,1ESO,"4,76","95,24"
Alacant,L'Alcoià,ALCOI,03000448,CENTRE PRIVAT LA SALLE,ESO,2ESO,"23,81","76,19"
Alacant,L'Alcoià,ALCOI,03000448,CENTRE PRIVAT LA SALLE,ESO,3ESO,"17,14","82,86"
Alacant,L'Alcoià,ALCOI,03000473,CENTRE PRIVAT SANT ROC,ESO,1ESO,"41,18","58,82"
Alacant,L'Alcoià,ALCOI,03000473,CENTRE PRIVAT SANT ROC,ESO,2ESO,"27,87","72,13"
Alacant,L'Alcoià,ALCOI,03000473,CENTRE PRIVAT SANT ROC,ESO,3ESO,"25,86","74,14"
Alacant,L'Alcoià,ALCOI,03000485,CENTRE PRIVAT SAN VICENTE FERRER,ESO,1ESO,"10,53","89,47"
Alacant,L'Alcoià,ALCOI,03000485,CENTRE PRIVAT SAN VICENTE FERRER,ESO,2ESO,"27,27","72,73"
Alacant,L'Alcoià,ALCOI,03000485,CENTRE PRIVAT SAN VICENTE FERRER,ESO,3ESO,"15,38","84,62"
