PROVINCIA,COMARCA,LOCALIDAD,CÓD. CENTRO,NOMBRE CENTRO,NIVEL,CURSO,% VOTOS VALENCIANO,% VOTOS CASTELLANO
PROVÍNCIA,COMARCA,LOCALITAT,CODI CENTRE,NOM DEL CENTRE,NIVELL,CURS,% VOTS VALENCIÀ,% VOTS CASTELLÀ
Castelló,L'Alt Maestrat,ALBOCÀSSER,12000091,CEIP JOAN DE BRUSCA,INF,2INF,100,0
Castelló,L'Alt Maestrat,ALBOCÀSSER,12000091,CEIP JOAN DE BRUSCA,INF,3INF,50,50
Castelló,L'Alt Maestrat,ALBOCÀSSER,12000091,CEIP JOAN DE BRUSCA,INF,4INF,100,0
Castelló,L'Alt Maestrat,ALBOCÀSSER,12000091,CEIP JOAN DE BRUSCA,INF,5INF,100,0
Castelló,El Baix Maestrat,ALCALÀ DE XIVERT,12000121,CEIP LO CAMPANAR,INF,3INF,"66,67","33,33"
Castelló,El Baix Maestrat,ALCALÀ DE XIVERT,12000121,CEIP LO CAMPANAR,INF,4INF,100,0
Castelló,El Baix Maestrat,ALCALÀ DE XIVERT,12000121,CEIP LO CAMPANAR,INF,5INF,70,30
Castelló,L´Alcalatén,ALCORA (L'),12000133,CEIP FRANCISCO GRANGEL MASCARÓS,INF,2INF,"81,82","18,18"
Castelló,L´Alcalatén,ALCORA (L'),12000133,CEIP FRANCISCO GRANGEL MASCARÓS,INF,3INF,"87,5","12,5"
Castelló,L´Alcalatén,ALCORA (L'),12000133,CEIP FRANCISCO GRANGEL MASCARÓS,INF,4INF,"81,82","18,18"
Castelló,L´Alcalatén,ALCORA (L'),12000133,CEIP FRANCISCO GRANGEL MASCARÓS,INF,5INF,20,80
Castelló,L´Alcalatén,ALCORA (L'),12000145,CEIP COMTE D'ARANDA,INF,2INF,"83,33","16,67"
Castelló,L´Alcalatén,ALCORA (L'),12000145,CEIP COMTE D'ARANDA,INF,3INF,"66,67","33,33"
Castelló,L´Alcalatén,ALCORA (L'),12000145,CEIP COMTE D'ARANDA,INF,4INF,70,30
Castelló,L´Alcalatén,ALCORA (L'),12000145,CEIP COMTE D'ARANDA,INF,5INF,"82,35","17,65"
Castelló,L´Alcalatén,ALCORA (L'),12000157,CENTRE PRIVAT PUÉRTOLAS PARDO,INF,3INF,"66,67","33,33"
Castelló,L´Alcalatén,ALCORA (L'),12000157,CENTRE PRIVAT PUÉRTOLAS PARDO,INF,4INF,"35,29","64,71"
Castelló,L´Alcalatén,ALCORA (L'),12000157,CENTRE PRIVAT PUÉRTOLAS PARDO,INF,5INF,"61,54","38,46"
Castelló,L´Alcalatén,ALCORA (L'),12000169,CENTRE PRIVAT LA SALLE,INF,3INF,75,25
Castelló,L´Alcalatén,ALCORA (L'),12000169,CENTRE PRIVAT LA SALLE,INF,4INF,"62,5","37,5"
Castelló,L´Alcalatén,ALCORA (L'),12000169,CENTRE PRIVAT LA SALLE,INF,5INF,30,70
Castelló,La Plana Baixa,ALFONDEGUILLA,12000194,CEIP CASTRO,INF,2INF,100,0
Castelló,La Plana Baixa,ALFONDEGUILLA,12000194,CEIP CASTRO,INF,3INF,100,0
Castelló,La Plana Baixa,ALFONDEGUILLA,12000194,CEIP CASTRO,INF,4INF,100,0
Castelló,La Plana Baixa,ALFONDEGUILLA,12000194,CEIP CASTRO,INF,5INF,80,20
Castelló,La Plana Alta,ALMASSORA,12000212,CEIP RIU MILLARS,INF,2INF,"54,55","45,45"
Castelló,La Plana Alta,ALMASSORA,12000212,CEIP RIU MILLARS,INF,3INF,"52,94","47,06"
Castelló,La Plana Alta,ALMASSORA,12000212,CEIP RIU MILLARS,INF,4INF,"82,35","17,65"
Castelló,La Plana Alta,ALMASSORA,12000212,CEIP RIU MILLARS,INF,5INF,"68,75","31,25"
Castelló,La Plana Alta,ALMASSORA,12000224,CEIP BOQUERES,INF,3INF,"85,19","14,81"
Castelló,La Plana Alta,ALMASSORA,12000224,CEIP BOQUERES,INF,4INF,"89,29","10,71"
Castelló,La Plana Alta,ALMASSORA,12000224,CEIP BOQUERES,INF,5INF,80,20
Castelló,La Plana Alta,ALMASSORA,12000236,CEIP CARDENAL CISNEROS,INF,3INF,100,0
Castelló,La Plana Alta,ALMASSORA,12000236,CEIP CARDENAL CISNEROS,INF,4INF,"92,86","7,14"
Castelló,La Plana Alta,ALMASSORA,12000236,CEIP CARDENAL CISNEROS,INF,5INF,"91,43","8,57"
Castelló,La Plana Baixa,ALMENARA,12000285,CEIP JUAN CARLOS I,INF,3INF,"91,18","8,82"
Castelló,La Plana Baixa,ALMENARA,12000285,CEIP JUAN CARLOS I,INF,4INF,"86,21","13,79"
Castelló,La Plana Baixa,ALMENARA,12000285,CEIP JUAN CARLOS I,INF,5INF,"82,61","17,39"
Castelló,El Alto Palancia,ALTURA,12000303,CEIP VIRGEN DE GRACIA,INF,3INF,"11,76","88,24"
Castelló,El Alto Palancia,ALTURA,12000303,CEIP VIRGEN DE GRACIA,INF,4INF,0,100
Castelló,El Alto Palancia,ALTURA,12000303,CEIP VIRGEN DE GRACIA,INF,5INF,0,100
Castelló,La Plana Baixa,ARTANA,12000352,CEIP CARME MARTIN,INF,3INF,100,0
Castelló,La Plana Baixa,ARTANA,12000352,CEIP CARME MARTIN,INF,4INF,100,0
Castelló,La Plana Baixa,ARTANA,12000352,CEIP CARME MARTIN,INF,5INF,100,0
Castelló,La Plana Baixa,BETXÍ,12000391,CEIP CERVANTES-DUALDE,INF,3INF,"83,33","16,67"
Castelló,La Plana Baixa,BETXÍ,12000391,CEIP CERVANTES-DUALDE,INF,4INF,"96,43","3,57"
Castelló,La Plana Baixa,BETXÍ,12000391,CEIP CERVANTES-DUALDE,INF,5INF,"94,74","5,26"
Castelló,L'Alt Maestrat,BENASSAL,12000431,CEIP ALCALDE FABREGAT,INF,2INF,100,0
Castelló,L'Alt Maestrat,BENASSAL,12000431,CEIP ALCALDE FABREGAT,INF,3INF,100,0
Castelló,L'Alt Maestrat,BENASSAL,12000431,CEIP ALCALDE FABREGAT,INF,4INF,60,40
Castelló,L'Alt Maestrat,BENASSAL,12000431,CEIP ALCALDE FABREGAT,INF,5INF,100,0
Castelló,El Baix Maestrat,BENICARLÓ,12000455,CEIP MARQUÉS DE BENICARLÓ,INF,3INF,80,20
Castelló,El Baix Maestrat,BENICARLÓ,12000455,CEIP MARQUÉS DE BENICARLÓ,INF,4INF,"87,88","12,12"
Castelló,El Baix Maestrat,BENICARLÓ,12000455,CEIP MARQUÉS DE BENICARLÓ,INF,5INF,"79,07","20,93"
Castelló,El Baix Maestrat,BENICARLÓ,12000509,CENTRE PRIVAT NUESTRA SEÑORA DE LA CONSOLACIÓN,INF,3INF,"86,96","13,04"
