PROVINCIA,COMARCA,LOCALIDAD,CÓD. CENTRO,NOMBRE CENTRO,NIVEL,CURSO,% VOTOS VALENCIANO,% VOTOS CASTELLANO
PROVÍNCIA,COMARCA,LOCALITAT,CODI CENTRE,NOM DEL CENTRE,NIVELL,CURS,% VOTS VALENCIÀ,% VOTS CASTELLÀ
València,La Vall d'Albaida,AGULLENT,46000079,CEIP SANT VICENT FERRER,INF,3INF,50,50
València,La Vall d'Albaida,AGULLENT,46000079,CEIP SANT VICENT FERRER,INF,4INF,90,10
València,La Vall d'Albaida,AGULLENT,46000079,CEIP SANT VICENT FERRER,INF,5INF,"83,33","16,67"
València,L'Horta Sud,ALAQUÀS,46000109,CENTRE PRIVAT MARE DE DÉU DE L'OLIVAR I,INF,3INF,"88,57","11,43"
València,L'Horta Sud,ALAQUÀS,46000109,CENTRE PRIVAT MARE DE DÉU DE L'OLIVAR I,INF,4INF,"97,06","2,94"
València,L'Horta Sud,ALAQUÀS,46000109,CENTRE PRIVAT MARE DE DÉU DE L'OLIVAR I,INF,5INF,"89,47","10,53"
València,L'Horta Sud,ALAQUÀS,46000110,CENTRE PRIVAT MADRE JOSEFA CAMPOS,INF,3INF,"47,37","52,63"
València,L'Horta Sud,ALAQUÀS,46000110,CENTRE PRIVAT MADRE JOSEFA CAMPOS,INF,4INF,12,88
València,L'Horta Sud,ALAQUÀS,46000110,CENTRE PRIVAT MADRE JOSEFA CAMPOS,INF,5INF,"17,86","82,14"
València,L'Horta Sud,ALAQUÀS,46000158,CEIP AMPARO ALABAU,INF,2INF,"66,67","33,33"
València,L'Horta Sud,ALAQUÀS,46000158,CEIP AMPARO ALABAU,INF,3INF,"72,73","27,27"
València,L'Horta Sud,ALAQUÀS,46000158,CEIP AMPARO ALABAU,INF,4INF,"42,86","57,14"
València,L'Horta Sud,ALAQUÀS,46000158,CEIP AMPARO ALABAU,INF,5INF,"70,59","29,41"
València,L'Horta Sud,ALAQUÀS,46000171,CEIP BONAVISTA,INF,3INF,"93,33","6,67"
València,L'Horta Sud,ALAQUÀS,46000171,CEIP BONAVISTA,INF,4INF,"88,24","11,76"
València,L'Horta Sud,ALAQUÀS,46000171,CEIP BONAVISTA,INF,5INF,"87,8","12,2"
València,La Vall d'Albaida,ALBAIDA,46000183,CENTRE PRIV. ED. INFANTIL LA INMACULADA,INF,3INF,"81,82","18,18"
València,La Vall d'Albaida,ALBAIDA,46000183,CENTRE PRIV. ED. INFANTIL LA INMACULADA,INF,4INF,"66,67","33,33"
València,La Vall d'Albaida,ALBAIDA,46000183,CENTRE PRIV. ED. INFANTIL LA INMACULADA,INF,5INF,"57,14","42,86"
València,La Vall d'Albaida,ALBAIDA,46000225,CEIP ELÍAS TORMO,INF,2INF,"83,33","16,67"
València,La Vall d'Albaida,ALBAIDA,46000225,CEIP ELÍAS TORMO,INF,3INF,70,30
València,La Vall d'Albaida,ALBAIDA,46000225,CEIP ELÍAS TORMO,INF,4INF,"93,33","6,67"
València,La Vall d'Albaida,ALBAIDA,46000225,CEIP ELÍAS TORMO,INF,5INF,"90,91","9,09"
València,L'Horta Sud,ALBAL,46000249,CENTRE PRIVAT SANTA ANA Y SAN JOSÉ DE LA MONTAÑA,INF,3INF,"53,33","46,67"
València,L'Horta Sud,ALBAL,46000249,CENTRE PRIVAT SANTA ANA Y SAN JOSÉ DE LA MONTAÑA,INF,4INF,"57,14","42,86"
València,L'Horta Sud,ALBAL,46000249,CENTRE PRIVAT SANTA ANA Y SAN JOSÉ DE LA MONTAÑA,INF,5INF,"33,33","66,67"
València,L'Horta Sud,ALBAL,46000262,CEIP SAN BLAS,INF,2INF,100,0
València,L'Horta Sud,ALBAL,46000262,CEIP SAN BLAS,INF,3INF,100,0
València,L'Horta Sud,ALBAL,46000262,CEIP SAN BLAS,INF,4INF,"85,71","14,29"
València,L'Horta Sud,ALBAL,46000262,CEIP SAN BLAS,INF,5INF,100,0
València,L'Horta Sud,ALBAL,46000274,CEIP JUAN ESTEVE MUÑOZ,INF,3INF,100,0
València,L'Horta Sud,ALBAL,46000274,CEIP JUAN ESTEVE MUÑOZ,INF,4INF,"78,95","21,05"
València,L'Horta Sud,ALBAL,46000274,CEIP JUAN ESTEVE MUÑOZ,INF,5INF,"96,77","3,23"
València,La Ribera Baixa,ALBALAT DE LA RIBERA,46000298,CEIP AUSIÀS MARCH,INF,3INF,"94,44","5,56"
València,La Ribera Baixa,ALBALAT DE LA RIBERA,46000298,CEIP AUSIÀS MARCH,INF,4INF,100,0
València,La Ribera Baixa,ALBALAT DE LA RIBERA,46000298,CEIP AUSIÀS MARCH,INF,5INF,100,0
València,L'Horta Nord,ALBALAT DELS SORELLS,46000304,CEIP EL CASTELL,INF,3INF,100,0
València,L'Horta Nord,ALBALAT DELS SORELLS,46000304,CEIP EL CASTELL,INF,4INF,"93,75","6,25"
València,L'Horta Nord,ALBALAT DELS SORELLS,46000304,CEIP EL CASTELL,INF,5INF,"86,96","13,04"
València,La Ribera Alta,ALBERIC,46000328,CENTRE PRIVAT LA MILAGROSA,INF,3INF,"57,14","42,86"
València,La Ribera Alta,ALBERIC,46000328,CENTRE PRIVAT LA MILAGROSA,INF,4INF,50,50
València,La Ribera Alta,ALBERIC,46000328,CENTRE PRIVAT LA MILAGROSA,INF,5INF,"12,5","87,5"
València,La Ribera Alta,ALBERIC,46000341,CEIP RAFAEL COMENGE,INF,3INF,80,20
València,La Ribera Alta,ALBERIC,46000341,CEIP RAFAEL COMENGE,INF,4INF,"59,09","40,91"
València,La Ribera Alta,ALBERIC,46000341,CEIP RAFAEL COMENGE,INF,5INF,"95,83","4,17"
València,L'Horta Nord,ALBORAIA,46000377,CENTRE PRIVAT PARROQUIAL DON JOSÉ LLUCH,INF,3INF,"28,57","71,43"
València,L'Horta Nord,ALBORAIA,46000377,CENTRE PRIVAT PARROQUIAL DON JOSÉ LLUCH,INF,4INF,25,75
València,L'Horta Nord,ALBORAIA,46000377,CENTRE PRIVAT PARROQUIAL DON JOSÉ LLUCH,INF,5INF,"40,63","59,38"
València,L'Horta Nord,ALBORAIA,46000407,CENTRE PRIVAT SANTA MARÍA-MARIANISTAS,INF,3INF,"17,78","82,22"
València,L'Horta Nord,ALBORAIA,46000407,CENTRE PRIVAT SANTA MARÍA-MARIANISTAS,INF,4INF,"23,81","76,19"
València,L'Horta Nord,ALBORAIA,46000407,CENTRE PRIVAT SANTA MARÍA-MARIANISTAS,INF,5INF,"4,55","95,45"
València,L'Horta Nord,ALBORAIA,46000444,CEIP CERVANTES,INF,2INF,75,25
València,L'Horta Nord,ALBORAIA,46000444,CEIP CERVANTES,INF,3INF,"76,92","23,08"
València,L'Horta Nord,ALBORAIA,46000444,CEIP CERVANTES,INF,4INF,"90,91","9,09"
València,L'Horta Nord,ALBORAIA,46000444,CEIP CERVANTES,INF,5INF,60,40
València,L'Horta Nord,ALBUIXECH,46000456,CEIP TOMÁS ALBERT,INF,3INF,"83,33","16,67"
València,L'Horta Nord,ALBUIXECH,46000456,CEIP TOMÁS ALBERT,INF,4INF,"88,24","11,76"
València,L'Horta Nord,ALBUIXECH,46000456,CEIP TOMÁS ALBERT,INF,5INF,"95,24","4,76"
València,L'Horta Sud,ALCÀSSER,46000468,CENTRE PRIVAT SANTÍSIMO CRISTO DE LA FE,INF,3INF,"18,18","81,82"
València,L'Horta Sud,ALCÀSSER,46000468,CENTRE PRIVAT SANTÍSIMO CRISTO DE LA FE,INF,4INF,"46,67","53,33"
València,L'Horta Sud,ALCÀSSER,46000468,CENTRE PRIVAT SANTÍSIMO CRISTO DE LA FE,INF,5INF,"14,29","85,71"
València,L'Horta Sud,ALCÀSSER,46000493,CEIP 9 D'OCTUBRE,INF,2INF,"90,91","9,09"
València,L'Horta Sud,ALCÀSSER,46000493,CEIP 9 D'OCTUBRE,INF,3INF,"96,3","3,7"
València,L'Horta Sud,ALCÀSSER,46000493,CEIP 9 D'OCTUBRE,INF,4INF,"96,67","3,33"
València,L'Horta Sud,ALCÀSSER,46000493,CEIP 9 D'OCTUBRE,INF,5INF,100,0
València,L'Horta Sud,ALCÀSSER,46000501,CEIP JAUME I,INF,2INF,100,0
València,L'Horta Sud,ALCÀSSER,46000501,CEIP JAUME I,INF,3INF,100,0
València,L'Horta Sud,ALCÀSSER,46000501,CEIP JAUME I,INF,4INF,100,0
València,L'Horta Sud,ALCÀSSER,46000501,CEIP JAUME I,INF,5INF,100,0
València,La Ribera Alta,ALCÀNTERA DE XÚQUER,46000511,CEIP CERVANTES,INF,3INF,90,10
València,La Ribera Alta,ALCÀNTERA DE XÚQUER,46000511,CEIP CERVANTES,INF,4INF,100,0
València,La Ribera Alta,ALCÀNTERA DE XÚQUER,46000511,CEIP CERVANTES,INF,5INF,"88,89","11,11"
