PROVINCIA,COMARCA,LOCALIDAD,CÓD. CENTRO,NOMBRE CENTRO,NIVEL,CURSO,% VOTOS VALENCIANO,% VOTOS CASTELLANO
PROVÍNCIA,COMARCA,LOCALITAT,CODI CENTRE,NOM DEL CENTRE,NIVELL,CURS,% VOTS VALENCIÀ,% VOTS CASTELLÀ
Alacant,L´Alacantí,AGOST,03000047,CEIP LA RAMBLA,PRI,1PRI,100,0
Alacant,L´Alacantí,AGOST,03000047,CEIP LA RAMBLA,PRI,2PRI,"87,5","12,5"
Alacant,L´Alacantí,AGOST,03000047,CEIP LA RAMBLA,PRI,3PRI,100,0
Alacant,L´Alacantí,AGOST,03000047,CEIP LA RAMBLA,PRI,4PRI,"89,47","10,53"
Alacant,L´Alacantí,AGOST,03000047,CEIP LA RAMBLA,PRI,5PRI,100,0
Alacant,L´Alacantí,AGOST,03000047,CEIP LA RAMBLA,PRI,6PRI,100,0
Alacant,L´Alacantí,AGOST,03000060,CENTRE PRIVAT LA MILAGROSA,PRI,1PRI,0,100
Alacant,L´Alacantí,AGOST,03000060,CENTRE PRIVAT LA MILAGROSA,PRI,2PRI,"14,29","85,71"
Alacant,L´Alacantí,AGOST,03000060,CENTRE PRIVAT LA MILAGROSA,PRI,3PRI,30,70
Alacant,L´Alacantí,AGOST,03000060,CENTRE PRIVAT LA MILAGROSA,PRI,4PRI,"18,18","81,82"
Alacant,L´Alacantí,AGOST,03000060,CENTRE PRIVAT LA MILAGROSA,PRI,5PRI,0,100
Alacant,L´Alacantí,AGOST,03000060,CENTRE PRIVAT LA MILAGROSA,PRI,6PRI,20,80
Alacant,L´Alacantí,AIGÜES,03000096,CEIP MIRADOR D'AIGÜES,PRI,1PRI,30,70
Alacant,L´Alacantí,AIGÜES,03000096,CEIP MIRADOR D'AIGÜES,PRI,2PRI,"27,27","72,73"
Alacant,L´Alacantí,AIGÜES,03000096,CEIP MIRADOR D'AIGÜES,PRI,3PRI,"12,5","87,5"
Alacant,L´Alacantí,AIGÜES,03000096,CEIP MIRADOR D'AIGÜES,PRI,4PRI,0,100
Alacant,L´Alacantí,AIGÜES,03000096,CEIP MIRADOR D'AIGÜES,PRI,5PRI,0,100
Alacant,L´Alacantí,AIGÜES,03000096,CEIP MIRADOR D'AIGÜES,PRI,6PRI,0,100
Alacant,El Baix Segura/ La Vega Baja,ALBATERA,03000138,CEP VIRGEN DEL ROSARIO,PRI,1PRI,"7,14","92,86"
Alacant,El Baix Segura/ La Vega Baja,ALBATERA,03000138,CEP VIRGEN DEL ROSARIO,PRI,2PRI,"2,5","97,5"
Alacant,El Baix Segura/ La Vega Baja,ALBATERA,03000138,CEP VIRGEN DEL ROSARIO,PRI,3PRI,"2,22","97,78"
Alacant,El Baix Segura/ La Vega Baja,ALBATERA,03000138,CEP VIRGEN DEL ROSARIO,PRI,4PRI,"2,13","97,87"
Alacant,El Baix Segura/ La Vega Baja,ALBATERA,03000138,CEP VIRGEN DEL ROSARIO,PRI,5PRI,2,98
Alacant,El Baix Segura/ La Vega Baja,ALBATERA,03000138,CEP VIRGEN DEL ROSARIO,PRI,6PRI,0,100
Alacant,El Baix Segura/ La Vega Baja,SAN ISIDRO,03000151,CEIP JESÚS SÁNCHEZ,PRI,1PRI,0,100
Alacant,El Baix Segura/ La Vega Baja,SAN ISIDRO,03000151,CEIP JESÚS SÁNCHEZ,PRI,2PRI,0,100
Alacant,El Baix Segura/ La Vega Baja,SAN ISIDRO,03000151,CEIP JESÚS SÁNCHEZ,PRI,3PRI,0,100
Alacant,El Baix Segura/ La Vega Baja,SAN ISIDRO,03000151,CEIP JESÚS SÁNCHEZ,PRI,4PRI,0,100
Alacant,El Baix Segura/ La Vega Baja,SAN ISIDRO,03000151,CEIP JESÚS SÁNCHEZ,PRI,5PRI,0,100
Alacant,El Baix Segura/ La Vega Baja,SAN ISIDRO,03000151,CEIP JESÚS SÁNCHEZ,PRI,6PRI,0,100
Alacant,L'Alcoià,ALCOI,03000230,CEIP EL ROMERAL,PRI,1PRI,95,5
Alacant,L'Alcoià,ALCOI,03000230,CEIP EL ROMERAL,PRI,2PRI,"97,06","2,94"
Alacant,L'Alcoià,ALCOI,03000230,CEIP EL ROMERAL,PRI,3PRI,"95,83","4,17"
Alacant,L'Alcoià,ALCOI,03000230,CEIP EL ROMERAL,PRI,4PRI,"94,55","5,45"
Alacant,L'Alcoià,ALCOI,03000230,CEIP EL ROMERAL,PRI,5PRI,100,0
Alacant,L'Alcoià,ALCOI,03000230,CEIP EL ROMERAL,PRI,6PRI,"90,91","9,09"
Alacant,L'Alcoià,ALCOI,03000266,CEIP SAN VICENTE,PRI,1PRI,100,0
Alacant,L'Alcoià,ALCOI,03000266,CEIP SAN VICENTE,PRI,2PRI,"91,67","8,33"
Alacant,L'Alcoià,ALCOI,03000266,CEIP SAN VICENTE,PRI,3PRI,"86,36","13,64"
Alacant,L'Alcoià,ALCOI,03000266,CEIP SAN VICENTE,PRI,4PRI,"83,33","16,67"
Alacant,L'Alcoià,ALCOI,03000266,CEIP SAN VICENTE,PRI,5PRI,"82,61","17,39"
Alacant,L'Alcoià,ALCOI,03000266,CEIP SAN VICENTE,PRI,6PRI,"88,24","11,76"
Alacant,L'Alcoià,ALCOI,03000345,CENTRE PRIVAT JOSÉ ARNAUDA,PRI,1PRI,80,20
Alacant,L'Alcoià,ALCOI,03000345,CENTRE PRIVAT JOSÉ ARNAUDA,PRI,2PRI,"76,74","23,26"
Alacant,L'Alcoià,ALCOI,03000345,CENTRE PRIVAT JOSÉ ARNAUDA,PRI,3PRI,"76,32","23,68"
Alacant,L'Alcoià,ALCOI,03000345,CENTRE PRIVAT JOSÉ ARNAUDA,PRI,4PRI,"76,47","23,53"
Alacant,L'Alcoià,ALCOI,03000345,CENTRE PRIVAT JOSÉ ARNAUDA,PRI,5PRI,"93,75","6,25"
Alacant,L'Alcoià,ALCOI,03000345,CENTRE PRIVAT JOSÉ ARNAUDA,PRI,6PRI,"76,32","23,68"
Alacant,L'Alcoià,ALCOI,03000357,CENTRE PRIVAT LA PRESENTACIÓN,PRI,1PRI,75,25
Alacant,L'Alcoià,ALCOI,03000357,CENTRE PRIVAT LA PRESENTACIÓN,PRI,2PRI,"76,47","23,53"
Alacant,L'Alcoià,ALCOI,03000357,CENTRE PRIVAT LA PRESENTACIÓN,PRI,3PRI,"92,86","7,14"
Alacant,L'Alcoià,ALCOI,03000357,CENTRE PRIVAT LA PRESENTACIÓN,PRI,4PRI,88,12
Alacant,L'Alcoià,ALCOI,03000357,CENTRE PRIVAT LA PRESENTACIÓN,PRI,5PRI,"82,14","17,86"
Alacant,L'Alcoià,ALCOI,03000357,CENTRE PRIVAT LA PRESENTACIÓN,PRI,6PRI,"64,71","35,29"
Alacant,L'Alcoià,ALCOI,03000382,CENTRE PRIVAT ESCLAVES SCJ ALCOI,PRI,1PRI,"75,68","24,32"
