PROVINCIA,COMARCA,LOCALIDAD,CÓD. CENTRO,NOMBRE CENTRO,NIVEL,CURSO,% VOTOS VALENCIANO,% VOTOS CASTELLANO
PROVÍNCIA,COMARCA,LOCALITAT,CODI CENTRE,NOM DEL CENTRE,NIVELL,CURS,% VOTS VALENCIÀ,% VOTS CASTELLÀ
Castelló,L'Alt Maestrat,ALBOCÀSSER,12000091,CEIP JOAN DE BRUSCA,PRI,1PRI,100,0
Castelló,L'Alt Maestrat,ALBOCÀSSER,12000091,CEIP JOAN DE BRUSCA,PRI,2PRI,100,0
Castelló,L'Alt Maestrat,ALBOCÀSSER,12000091,CEIP JOAN DE BRUSCA,PRI,3PRI,"92,86","7,14"
Castelló,L'Alt Maestrat,ALBOCÀSSER,12000091,CEIP JOAN DE BRUSCA,PRI,4PRI,100,0
Castelló,L'Alt Maestrat,ALBOCÀSSER,12000091,CEIP JOAN DE BRUSCA,PRI,5PRI,100,0
Castelló,L'Alt Maestrat,ALBOCÀSSER,12000091,CEIP JOAN DE BRUSCA,PRI,6PRI,100,0
Castelló,El Baix Maestrat,ALCALÀ DE XIVERT,12000121,CEIP LO CAMPANAR,PRI,1PRI,75,25
Castelló,El Baix Maestrat,ALCALÀ DE XIVERT,12000121,CEIP LO CAMPANAR,PRI,2PRI,100,0
Castelló,El Baix Maestrat,ALCALÀ DE XIVERT,12000121,CEIP LO CAMPANAR,PRI,3PRI,"85,71","14,29"
Castelló,El Baix Maestrat,ALCALÀ DE XIVERT,12000121,CEIP LO CAMPANAR,PRI,4PRI,90,10
Castelló,El Baix Maestrat,ALCALÀ DE XIVERT,12000121,CEIP LO CAMPANAR,PRI,5PRI,"88,89","11,11"
Castelló,El Baix Maestrat,ALCALÀ DE XIVERT,12000121,CEIP LO CAMPANAR,PRI,6PRI,"91,67","8,33"
Castelló,L´Alcalatén,ALCORA (L'),12000133,CEIP FRANCISCO GRANGEL MASCARÓS,PRI,1PRI,64,36
Castelló,L´Alcalatén,ALCORA (L'),12000133,CEIP FRANCISCO GRANGEL MASCARÓS,PRI,2PRI,60,40
Castelló,L´Alcalatén,ALCORA (L'),12000133,CEIP FRANCISCO GRANGEL MASCARÓS,PRI,3PRI,"57,89","42,11"
Castelló,L´Alcalatén,ALCORA (L'),12000133,CEIP FRANCISCO GRANGEL MASCARÓS,PRI,4PRI,"62,5","37,5"
Castelló,L´Alcalatén,ALCORA (L'),12000133,CEIP FRANCISCO GRANGEL MASCARÓS,PRI,5PRI,"71,43","28,57"
Castelló,L´Alcalatén,ALCORA (L'),12000133,CEIP FRANCISCO GRANGEL MASCARÓS,PRI,6PRI,"87,5","12,5"
Castelló,L´Alcalatén,ALCORA (L'),12000145,CEIP COMTE D'ARANDA,PRI,1PRI,"78,57","21,43"
Castelló,L´Alcalatén,ALCORA (L'),12000145,CEIP COMTE D'ARANDA,PRI,2PRI,"95,65","4,35"
Castelló,L´Alcalatén,ALCORA (L'),12000145,CEIP COMTE D'ARANDA,PRI,3PRI,"77,78","22,22"
Castelló,L´Alcalatén,ALCORA (L'),12000145,CEIP COMTE D'ARANDA,PRI,4PRI,"57,89","42,11"
Castelló,L´Alcalatén,ALCORA (L'),12000145,CEIP COMTE D'ARANDA,PRI,5PRI,"86,67","13,33"
Castelló,L´Alcalatén,ALCORA (L'),12000145,CEIP COMTE D'ARANDA,PRI,6PRI,"57,14","42,86"
Castelló,L´Alcalatén,ALCORA (L'),12000157,CENTRE PRIVAT PUÉRTOLAS PARDO,PRI,1PRI,"44,44","55,56"
Castelló,L´Alcalatén,ALCORA (L'),12000157,CENTRE PRIVAT PUÉRTOLAS PARDO,PRI,2PRI,"15,79","84,21"
Castelló,L´Alcalatén,ALCORA (L'),12000157,CENTRE PRIVAT PUÉRTOLAS PARDO,PRI,3PRI,"23,08","76,92"
Castelló,L´Alcalatén,ALCORA (L'),12000157,CENTRE PRIVAT PUÉRTOLAS PARDO,PRI,4PRI,"23,08","76,92"
Castelló,L´Alcalatén,ALCORA (L'),12000157,CENTRE PRIVAT PUÉRTOLAS PARDO,PRI,5PRI,"23,08","76,92"
Castelló,L´Alcalatén,ALCORA (L'),12000157,CENTRE PRIVAT PUÉRTOLAS PARDO,PRI,6PRI,"53,33","46,67"
Castelló,L´Alcalatén,ALCORA (L'),12000169,CENTRE PRIVAT LA SALLE,PRI,1PRI,75,25
Castelló,L´Alcalatén,ALCORA (L'),12000169,CENTRE PRIVAT LA SALLE,PRI,2PRI,70,30
Castelló,L´Alcalatén,ALCORA (L'),12000169,CENTRE PRIVAT LA SALLE,PRI,3PRI,70,30
Castelló,L´Alcalatén,ALCORA (L'),12000169,CENTRE PRIVAT LA SALLE,PRI,4PRI,"81,82","18,18"
Castelló,L´Alcalatén,ALCORA (L'),12000169,CENTRE PRIVAT LA SALLE,PRI,5PRI,25,75
Castelló,L´Alcalatén,ALCORA (L'),12000169,CENTRE PRIVAT LA SALLE,PRI,6PRI,"45,45","54,55"
Castelló,La Plana Baixa,ALFONDEGUILLA,12000194,CEIP CASTRO,PRI,1PRI,100,0
Castelló,La Plana Baixa,ALFONDEGUILLA,12000194,CEIP CASTRO,PRI,2PRI,"88,89","11,11"
Castelló,La Plana Baixa,ALFONDEGUILLA,12000194,CEIP CASTRO,PRI,3PRI,"66,67","33,33"
Castelló,La Plana Baixa,ALFONDEGUILLA,12000194,CEIP CASTRO,PRI,4PRI,"83,33","16,67"
Castelló,La Plana Baixa,ALFONDEGUILLA,12000194,CEIP CASTRO,PRI,5PRI,100,0
Castelló,La Plana Baixa,ALFONDEGUILLA,12000194,CEIP CASTRO,PRI,6PRI,100,0
Castelló,La Plana Alta,ALMASSORA,12000212,CEIP RIU MILLARS,PRI,1PRI,"38,46","61,54"
Castelló,La Plana Alta,ALMASSORA,12000212,CEIP RIU MILLARS,PRI,2PRI,"66,67","33,33"
Castelló,La Plana Alta,ALMASSORA,12000212,CEIP RIU MILLARS,PRI,3PRI,50,50
Castelló,La Plana Alta,ALMASSORA,12000212,CEIP RIU MILLARS,PRI,4PRI,76,24
Castelló,La Plana Alta,ALMASSORA,12000212,CEIP RIU MILLARS,PRI,5PRI,75,25
Castelló,La Plana Alta,ALMASSORA,12000212,CEIP RIU MILLARS,PRI,6PRI,"47,06","52,94"
Castelló,La Plana Alta,ALMASSORA,12000224,CEIP BOQUERES,PRI,1PRI,"76,19","23,81"
Castelló,La Plana Alta,ALMASSORA,12000224,CEIP BOQUERES,PRI,2PRI,"63,64","36,36"
Castelló,La Plana Alta,ALMASSORA,12000224,CEIP BOQUERES,PRI,3PRI,85,15
Castelló,La Plana Alta,ALMASSORA,12000224,CEIP BOQUERES,PRI,4PRI,"92,86","7,14"
Castelló,La Plana Alta,ALMASSORA,12000224,CEIP BOQUERES,PRI,5PRI,"84,62","15,38"
Castelló,La Plana Alta,ALMASSORA,12000224,CEIP BOQUERES,PRI,6PRI,"57,14","42,86"
Castelló,La Plana Alta,ALMASSORA,12000236,CEIP CARDENAL CISNEROS,PRI,1PRI,"87,8","12,2"
Castelló,La Plana Alta,ALMASSORA,12000236,CEIP CARDENAL CISNEROS,PRI,2PRI,"87,5","12,5"
Castelló,La Plana Alta,ALMASSORA,12000236,CEIP CARDENAL CISNEROS,PRI,3PRI,"87,1","12,9"
Castelló,La Plana Alta,ALMASSORA,12000236,CEIP CARDENAL CISNEROS,PRI,4PRI,"83,02","16,98"
Castelló,La Plana Alta,ALMASSORA,12000236,CEIP CARDENAL CISNEROS,PRI,5PRI,"77,27","22,73"
Castelló,La Plana Alta,ALMASSORA,12000236,CEIP CARDENAL CISNEROS,PRI,6PRI,"87,18","12,82"
Castelló,La Plana Baixa,ALMENARA,12000285,CEIP JUAN CARLOS I,PRI,1PRI,"78,57","21,43"
