PROVINCIA,COMARCA,LOCALIDAD,CÓD. CENTRO,NOMBRE CENTRO,NIVEL,CURSO,% VOTOS VALENCIANO,% VOTOS CASTELLANO
PROVÍNCIA,COMARCA,LOCALITAT,CODI CENTRE,NOM DEL CENTRE,NIVELL,CURS,% VOTS VALENCIÀ,% VOTS CASTELLÀ
València,La Vall d'Albaida,AGULLENT,46000079,CEIP SANT VICENT FERRER,PRI,1PRI,100,0
València,La Vall d'Albaida,AGULLENT,46000079,CEIP SANT VICENT FERRER,PRI,2PRI,"90,91","9,09"
València,La Vall d'Albaida,AGULLENT,46000079,CEIP SANT VICENT FERRER,PRI,3PRI,"93,33","6,67"
València,La Vall d'Albaida,AGULLENT,46000079,CEIP SANT VICENT FERRER,PRI,4PRI,100,0
València,La Vall d'Albaida,AGULLENT,46000079,CEIP SANT VICENT FERRER,PRI,5PRI,80,20
València,La Vall d'Albaida,AGULLENT,46000079,CEIP SANT VICENT FERRER,PRI,6PRI,"88,24","11,76"
València,L'Horta Sud,ALAQUÀS,46000109,CENTRE PRIVAT MARE DE DÉU DE L'OLIVAR I,PRI,1PRI,"67,65","32,35"
València,L'Horta Sud,ALAQUÀS,46000109,CENTRE PRIVAT MARE DE DÉU DE L'OLIVAR I,PRI,2PRI,"87,5","12,5"
València,L'Horta Sud,ALAQUÀS,46000109,CENTRE PRIVAT MARE DE DÉU DE L'OLIVAR I,PRI,3PRI,"96,67","3,33"
València,L'Horta Sud,ALAQUÀS,46000109,CENTRE PRIVAT MARE DE DÉU DE L'OLIVAR I,PRI,4PRI,"83,33","16,67"
València,L'Horta Sud,ALAQUÀS,46000109,CENTRE PRIVAT MARE DE DÉU DE L'OLIVAR I,PRI,5PRI,"91,89","8,11"
València,L'Horta Sud,ALAQUÀS,46000109,CENTRE PRIVAT MARE DE DÉU DE L'OLIVAR I,PRI,6PRI,"78,13","21,88"
València,L'Horta Sud,ALAQUÀS,46000110,CENTRE PRIVAT MADRE JOSEFA CAMPOS,PRI,1PRI,"12,5","87,5"
València,L'Horta Sud,ALAQUÀS,46000110,CENTRE PRIVAT MADRE JOSEFA CAMPOS,PRI,2PRI,"5,88","94,12"
València,L'Horta Sud,ALAQUÀS,46000110,CENTRE PRIVAT MADRE JOSEFA CAMPOS,PRI,3PRI,"19,23","80,77"
València,L'Horta Sud,ALAQUÀS,46000110,CENTRE PRIVAT MADRE JOSEFA CAMPOS,PRI,4PRI,"16,67","83,33"
València,L'Horta Sud,ALAQUÀS,46000110,CENTRE PRIVAT MADRE JOSEFA CAMPOS,PRI,5PRI,12,88
València,L'Horta Sud,ALAQUÀS,46000110,CENTRE PRIVAT MADRE JOSEFA CAMPOS,PRI,6PRI,"6,67","93,33"
València,L'Horta Sud,ALAQUÀS,46000158,CEIP AMPARO ALABAU,PRI,1PRI,"66,67","33,33"
València,L'Horta Sud,ALAQUÀS,46000158,CEIP AMPARO ALABAU,PRI,2PRI,50,50
València,L'Horta Sud,ALAQUÀS,46000158,CEIP AMPARO ALABAU,PRI,3PRI,"64,71","35,29"
València,L'Horta Sud,ALAQUÀS,46000158,CEIP AMPARO ALABAU,PRI,4PRI,"63,64","36,36"
València,L'Horta Sud,ALAQUÀS,46000158,CEIP AMPARO ALABAU,PRI,5PRI,"40,91","59,09"
València,L'Horta Sud,ALAQUÀS,46000158,CEIP AMPARO ALABAU,PRI,6PRI,"55,56","44,44"
València,L'Horta Sud,ALAQUÀS,46000171,CEIP BONAVISTA,PRI,1PRI,"86,84","13,16"
València,L'Horta Sud,ALAQUÀS,46000171,CEIP BONAVISTA,PRI,2PRI,90,10
València,L'Horta Sud,ALAQUÀS,46000171,CEIP BONAVISTA,PRI,3PRI,"88,1","11,9"
València,L'Horta Sud,ALAQUÀS,46000171,CEIP BONAVISTA,PRI,4PRI,"94,29","5,71"
València,L'Horta Sud,ALAQUÀS,46000171,CEIP BONAVISTA,PRI,5PRI,"80,95","19,05"
València,L'Horta Sud,ALAQUÀS,46000171,CEIP BONAVISTA,PRI,6PRI,"93,33","6,67"
València,La Vall d'Albaida,ALBAIDA,46000225,CEIP ELÍAS TORMO,PRI,1PRI,"82,14","17,86"
València,La Vall d'Albaida,ALBAIDA,46000225,CEIP ELÍAS TORMO,PRI,2PRI,"76,19","23,81"
València,La Vall d'Albaida,ALBAIDA,46000225,CEIP ELÍAS TORMO,PRI,3PRI,"85,71","14,29"
València,La Vall d'Albaida,ALBAIDA,46000225,CEIP ELÍAS TORMO,PRI,4PRI,"83,33","16,67"
València,La Vall d'Albaida,ALBAIDA,46000225,CEIP ELÍAS TORMO,PRI,5PRI,100,0
València,La Vall d'Albaida,ALBAIDA,46000225,CEIP ELÍAS TORMO,PRI,6PRI,100,0
València,L'Horta Sud,ALBAL,46000249,CENTRE PRIVAT SANTA ANA Y SAN JOSÉ DE LA MONTAÑA,PRI,1PRI,50,50
